price,year,trans,fuel,km,kw
,2006,Manuál,Benzín,108617,47

,2006,Manuál,Benzín,101469,40

,2008,Manuál,Benzín,143353,51

,2011,Manuál,Benzín+Plyn,212625,44

,2008,Manuál,Benzín,118313,44

,2007,Manuál,Benzín,114895,47

,2009,Manuál,Benzín,160539,44

,2007,Manuál,Diesel,185783,51

,2007,Manuál,Benzín,76322,40

,2008,Manuál,Benzín,176792,51

,2006,Manuál,Benzín,137857,47

,2006,Manuál,Diesel,258960,59

,2010,Manuál,Benzín,177535,44

,2006,Manuál,Benzín,128544,40

,2011,Manuál,Diesel,347583,55

,2007,Manuál,Benzín,97928,47

,2007,Manuál,Benzín,129116,51

,2008,Manuál,Benzín,209454,47

,2011,Manuál,Diesel,224311,77

,2006,Manuál,Diesel,138570,51

,2004,Manuál,Benzín,32773,40

,2008,Manuál,Benzín,141166,51

,2010,Manuál,Benzín,217617,51

,2007,Manuál,Benzín,121513,47

,2011,Manuál,Diesel,291737,55

,2014,Manuál,Benzín,316000,51

,2008,Manuál,Benzín,100800,44

,2005,Manuál,Benzín,128150,55

,2007,Manuál,Benzín,180267,55

,2008,Manuál,Benzín,139648,44

,2009,Manuál,Benzín,247971,63

,2005,Manuál,Benzín,47827,40

,2006,Manuál,Benzín,120992,59

,2009,Manuál,Benzín,152526,51

,2008,Manuál,Diesel,240606,59

,2007,Manuál,Benzín,194034,44

,2011,Manuál,Benzín,265807,51

,2006,Manuál,Benzín,172184,55

,2005,Manuál,Benzín,144787,55

,2009,Manuál,Diesel,231657,51

,2009,Manuál,Benzín,148338,44

,2008,Manuál,Diesel,178000,51

,2007,Manuál,Benzín,157134,44

,2011,Manuál,Diesel,271574,66

,2009,Manuál,Benzín,143935,44

,2009,Manuál,Benzín,182825,51

,2008,Manuál,Benzín,125134,51

,2009,Manuál,Benzín,97058,51

,2007,Manuál,Benzín,98018,44

,2010,Manuál,Benzín,165645,44

,2008,Manuál,Benzín,136263,44

,2013,Manuál,Benzín,271000,51

,2007,Manuál,Benzín,122825,51

,2001,Automat,Benzín,221000,55

,2005,Manuál,Benzín,90449,47

,2008,Manuál,Benzín,138623,51

,2008,Manuál,Benzín,233300,77

,2008,Manuál,Benzín,151113,63

,2007,Manuál,Benzín,178301,74

,2008,Manuál,Benzín,235544,51

,2007,Manuál,Diesel,267000,59

,2012,Manuál,Benzín,189500,55

,2007,Manuál,Benzín,229000,51

,2006,Manuál,Diesel,255794,74

,2009,Manuál,Benzín,204660,51

,2009,Manuál,Diesel,239519,51

,2008,Manuál,Benzín,108522,44

,2008,Manuál,Benzín,192478,51

,2008,Manuál,Diesel,180364,59

,2007,Manuál,Benzín,107000,44

,2007,Manuál,Benzín,175137,51

,2005,Manuál,Benzín,94390,47

,2007,Manuál,Diesel,196695,51

,2009,Manuál,Benzín,167200,51

,2008,Manuál,Benzín,160800,44

,2009,Manuál,Benzín,152983,44

,2008,Manuál,Benzín,146000,51

,2007,Manuál,Benzín,157853,47

,2005,Manuál,Benzín,115571,74

,2007,Manuál,Benzín,155702,44

,2013,Manuál,Diesel,300000,77

,2007,Manuál,Benzín,189869,55

,2006,Manuál,Benzín,155145,55

,2009,Manuál,Benzín,174303,44

,2008,Manuál,Benzín,172354,51

,2012,Manuál,Benzín+Plyn,272649,63

,2008,Manuál,Benzín,244971,44

,2009,Manuál,Benzín,171786,44

,2007,Manuál,Benzín,115950,59

,2010,Manuál,Diesel,243000,59

,2007,Manuál,Benzín,122353,44

,2008,Manuál,Benzín,154253,63

,2007,Manuál,Benzín,44798,47

,2008,Manuál,Diesel,236206,74

,2008,Manuál,Benzín,179865,44

,2008,Manuál,Benzín,127110,47

,2008,Manuál,Benzín,107348,51

,2008,Manuál,Diesel,228347,59

,2010,Manuál,Benzín,125835,44

,2008,Manuál,Benzín,125041,63

,2007,Manuál,Diesel,125612,59

,2009,Manuál,Benzín,143345,44

,2008,Manuál,Diesel,303000,51

,2008,Manuál,Benzín,150000,51

,2009,Manuál,Benzín,171000,51

,2010,Manuál,Benzín,253055,77

,2008,Manuál,Diesel,161599,51

,2008,Manuál,Benzín,178000,44

,2008,Manuál,Diesel,105000,51

,2010,Manuál,Benzín+Plyn,183000,44

,2005,Manuál,Benzín,75974,40

,2012,Manuál,Diesel,382330,55

,2011,Manuál,Benzín,166343,44

,2008,Manuál,Diesel,244402,59

,2008,Manuál,Benzín,106960,47

,2006,Manuál,Benzín+Plyn,114000,

,2008,Manuál,Benzín,151515,44

,2010,Manuál,Benzín,61012,44

,2010,Manuál,Benzín,213526,63

,2008,Manuál,Diesel,234000,51

,2005,Manuál,Benzín,139533,55

,2006,Manuál,Benzín,185205,55

,2007,Manuál,Benzín,168080,55

,2010,Manuál,Benzín,96000,44

,2012,Manuál,Diesel,265000,55

,2009,Manuál,Benzín,198000,51

,2010,Manuál,Benzín,166659,51

,2009,Manuál,Benzín,201130,63

,2008,Manuál,Benzín,218000,44

,2011,Manuál,Benzín,182875,51

,2006,Manuál,Benzín,14826,47

,2009,Manuál,Benzín,139334,44

,2007,Manuál,Benzín,74222,44

,2013,Manuál,Benzín,197767,51

,2008,Manuál,Benzín,99043,44

,2007,Manuál,Benzín,157868,59

,2009,Manuál,Benzín,104065,44

,2011,Manuál,Diesel,162668,66

,2004,Manuál,Diesel,310957,96

,2009,Manuál,Benzín,160677,51

,2008,Manuál,Diesel,245229,59

,2008,Manuál,Benzín,114266,44

,2007,Manuál,Benzín,116542,44

,2008,Manuál,Benzín,112099,44

,2008,Manuál,Benzín,172701,63

,2011,Manuál,Benzín,99556,44

,2008,Manuál,Benzín,189183,63

,2008,Manuál,Diesel,188000,59

,2011,Manuál,Benzín,153271,63

,2012,Manuál,Diesel,305000,55

,2007,Manuál,Benzín,209000,44

,2010,Manuál,Benzín,140000,44

,2011,Manuál,Diesel,169266,55

,2011,Manuál,Benzín,178720,63

,2009,Manuál,Benzín,84948,44

,2007,Manuál,Diesel,135970,59

,2004,Manuál,Benzín,47403,55

,2008,Manuál,Benzín,132000,44

,2010,Manuál,Diesel,244001,55

,2008,Manuál,Diesel,158200,51

,2009,Manuál,Benzín,93237,44

,2011,Manuál,Benzín,142500,44

,2009,Manuál,Diesel,204746,59

,2008,Manuál,Benzín,154392,51

,2009,Manuál,Benzín,174453,51

,2010,Manuál,Benzín,190101,51

,2008,Manuál,Benzín,212408,51

,2010,Manuál,Diesel,222174,66

,2009,Manuál,Benzín,106671,44

,2008,Manuál,Benzín,104684,51

,2008,Manuál,Benzín+Plyn,195000,63

,2009,Manuál,Benzín,181047,51

,2008,Manuál,Diesel,149065,51

,2010,Manuál,Benzín,235925,51

,2010,Manuál,Benzín,117171,44

,2006,Manuál,Benzín,98861,47

,2011,Manuál,Benzín,146035,51

,2011,Manuál,Benzín,112160,44

,2009,Manuál,Benzín,135230,51

,2008,Manuál,Benzín,97930,44

,2011,Manuál,Diesel,285000,55

,2010,Manuál,Benzín,226862,63

,2009,Manuál,Diesel,172430,59

,2010,Manuál,Benzín,174746,77

,2006,Manuál,Diesel,234216,74

,2009,Manuál,Benzín,100000,44

,2009,Manuál,Benzín,116923,51

,2012,Manuál,Benzín,147992,63

,2009,Manuál,Benzín,75928,44

,2009,Manuál,Benzín,176000,51

,2010,Manuál,Benzín,122667,51

,2009,Manuál,Benzín,196000,51

,2008,Manuál,Diesel,178219,59

,2010,Manuál,Diesel,279000,77

,2010,Manuál,Benzín,98000,51

,2010,Manuál,Benzín,235417,51

,2011,Manuál,Benzín,217000,63

,2007,Manuál,Benzín,216658,63

,2010,Manuál,Diesel,263803,66

,2004,Automat,Benzín,112862,55

,2009,Manuál,Benzín,168234,51

,2010,Manuál,Diesel,187405,55

,2011,Manuál,Benzín,133250,51

,2011,Manuál,Diesel,217961,66

,2019,Manuál,Benzín,66279,44

,2009,Manuál,Benzín,169654,44

,2009,Manuál,Diesel,225173,59

,2008,Manuál,Benzín,213315,63

,2008,Manuál,Benzín,107749,44

,2009,Manuál,Benzín,132560,63

,2009,Manuál,Diesel,262000,59

,2010,Manuál,Diesel,309506,66

,2012,Manuál,Benzín,177304,51

,2011,Manuál,Diesel,233400,55

,2009,Manuál,Benzín,230605,63

,2010,Manuál,Benzín,163369,44

,2007,Manuál,Benzín,188580,63

,2010,Manuál,Benzín,164392,63

,2009,Manuál,Diesel,208568,59

,2010,Manuál,Benzín,23802,44

,2008,Manuál,Benzín,135064,51

,2010,Manuál,Diesel,209887,55

,2009,Manuál,Benzín,81202,63

,2009,Manuál,Benzín,67350,44

,2008,Manuál,Benzín,146798,44

,2011,Manuál,Diesel,225288,55

,2012,Manuál,Benzín,189574,51

,2008,Manuál,Benzín,191025,77

,2007,Manuál,Benzín,178114,63

,2011,Manuál,Benzín,172598,51

,2009,Manuál,Benzín,171545,51

,2012,Manuál,Diesel,179772,55

,2009,Manuál,Benzín,127905,44

,2007,Manuál,Benzín,217000,63

,2012,Manuál,Benzín,106950,51

,2009,Manuál,Benzín,168000,51

,2010,Manuál,Diesel,137400,66

,2008,Manuál,Benzín,203000,63

,2008,Manuál,Benzín,104741,51

,2012,Manuál,Benzín,220000,51

,2013,Manuál,Benzín,162695,44

,2008,Manuál,Diesel,176000,51

,2009,Manuál,Benzín,155000,63

,2007,Manuál,Benzín,113000,63

,2010,Manuál,Benzín,137274,63

,2011,Manuál,Benzín,123637,44

,2011,Manuál,Benzín,82828,44

,2010,Manuál,Benzín,158558,63

,2008,Manuál,Benzín,203067,63

,2009,Manuál,Benzín,82285,44

,2009,Manuál,Benzín,180310,44

,2008,Manuál,Benzín,150680,63

,2009,Manuál,Benzín,117959,51

,2011,Manuál,Benzín,138267,51

,2012,Manuál,Diesel,280000,55

,2009,Manuál,Benzín,182000,63

